淮安航道网络科技有限公司（淮安航道（美团合作商））,今天,18,1,送餐员/外卖骑手,7000-10000元/月,招送餐员配车有住入1w,交通补助 话补 加班补助 夜宵补贴 工资上不封顶,招10人 学历不限 经验不限,西安 - 新城 - 朝阳门 西安新城西安市新城区西八路付1号 查看地图,首先为您承诺的美团合作配送商骑手直招，无任何三方费用。我们能提供给您的1. 稳定优渥的收入：综合薪资8000-12000，只要你肯干，收入丰厚；2. 商家派单制，无需抢单。日均30-80单，200-600元/天，另外有距离补贴、时间补贴、天气补贴、新人补贴、大额单补贴等各种补贴；3. 新人奖金、冲单奖金、工龄奖金等；4. 专送岗位，无需长距离送单；5. XX城市多个区域多个站点就近分配，如有需要可提供住宿；6. 完整的晋升路径：骑手-队长-运营-站长-城市经理。工作描述手机APP接取派到的订单-系统精准导航-商家取餐-餐品送达客户手中-APP点击完成订单。（不熟悉路线还有老骑手带跑哦！）工作时间9:00-14:00，17：00-21:00，月休2-3天。任职要求1. 年龄18-45周岁，性别不限；2. 会骑电动车，会使用智能手机导航；3. 遵纪守法，无不良记录。其他面试请携带身份证哦！
苏州小黄帽外卖配送有限公司,今天,3,0,送餐员/外卖骑手,8209-12840元/月,送餐员+月9千+单多车住,话补 交通补助 加班补助 饭补 房补 包住 包吃 年底双薪 全勤奖 有车 距离奖,招12人 学历不限 经验不限，可接收应届生,西安 - 未央 - 辛家庙 西安未央太元路矿山路与太元路交叉口 查看地图,有意向可投简历，时间回复!!!站长招聘送餐骑手卖员无经验者面通过当天面试入职后据住的地方就近分配站点，天工作岗位只需8小时其余时间自愿自行安排！！！！！底薪+提成+奖励，月收入8000-12000，综合单价5-8，保底单量每天40-70单入职要求：1.年龄18-45周岁，身体健康，无案底，公司提供车，头盔，工服，餐箱 礼品2.单价+好评奖+夜宵补助+恶劣天气补助+多劳多得路况熟悉后正常跑40~60单~~~~~~~基本提成+绩效+全勤奖+工龄奖 +月贡献奖（提成每单（6-8元不等）住宿环境：4-6人一间，空调，洗衣机，洗浴间，有车可自带车入职，没车公司可配车辆！工作时间；上午10：00~14：00 下午16：00~20：00工作内容系统派单，据自己住的地方1到3公里分配站点上班新员工不熟系路线的，站点会安排老骑手的带也会给骑手下载带有导航APP送餐准确无误送到客户手里3.接到系统派单后及时接单前往商家取餐，准时送到客户手中
陕西沪大餐饮连锁集团有限公司,今天,59,0,送餐员/外卖骑手,7200-13670元/月,招送餐员站点配车可短期,五险一金 包住 年底双薪 交通补助 加班补助 饭补 话补 冲单奖励 优秀员工奖励 半月可预支,招16人 学历不限 经验不限，可接收应届生,西安 - 未央 - 大明宫 西安未央自强东路585号大明宫国家遗址公园 查看地图,本招聘属于站点直招，不收取费用！！！公司提供宿舍，三室一厅，冬季有暖气，可洗澡，环境好。招聘岗位：蜂鸟专送骑手（生鲜、蔬果、饮料、日用品、美食、超市、鲜花、蛋糕）等！公司配备电动车。可接收短期工，在校生。职位要求：18-50周岁，男女不限，能吃苦耐劳。会骑电动车，能够使用智能手机，会看导航，没做过没有关系 有老人带领熟悉流程。工作时间：10：00-14：00，17：00-21：00.（两个时间段都要在岗，其他时间可自由安排）工作地点：西安各个区域都有站点，可以就近安排或者自选站点。福利待遇：底薪3000+提成6-12一单，保底单量每天稳定35-60单，接单无上限，平均300一天，月综合工资 6000以上上不封顶，多劳多得，公司提供住宿和电瓶车不收押金！系统福利：高低温补贴+重量补贴+远距离补贴+大额订单补贴+单王奖励+优秀员工奖+恶劣天气补贴+早餐夜宵补贴+年终奖励等等。公司给员工缴纳商业险，意外险，车辆财产险，可放心工作。晋升路径：骑手-组长-调度-副站-站长-城市经理有意向请投递简历，会有专人联系！也可打电话直接沟通！
陕西沪大餐饮连锁集团有限公司,今天,321,2,送餐员/外卖骑手,7300-14300元/月,急招骑手就近安排包车住,五险一金 包住 年底双薪 交通补助 加班补助 饭补 话补 冲单奖励 优秀员工奖励 半月可预支,招14人 学历不限 经验不限，可接收应届生,西安 - 经开区 - 市图书馆 西安经开区市图书馆范围不限安排 查看地图,站点直招送餐员！！承诺骑手面试入职上班不需要交任何的押金！！！【任职资格】：1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录、无3.会骑电动车、熟练使用手机APP软件。4.身体健康，能办理健康证（可入职后办理）【工作地点】全西安各区域站点都可以安排（提供住宿）【工作时间】10:00-14:00，17:00-21:00，（其余时间自由安排）月休假3-4天，自由安排，可调休，【工资待遇】每单提成6--12元不等+各种补贴，夜宵补贴、大额订单补贴、远距离补贴、恶劣天气补贴、单王奖、冲单奖、工龄+工资奖+早餐补贴+优秀员工奖励+年终奖+高低温补贴等等【岗位职责】负责以站点为中心3-5公里以内的餐食订单配送，新人上岗有老骑手带跑，熟悉路线。【福利待遇】公司提供住宿、免押金租车、缴纳商业险、意外险、医疗险（可安心工作）【升职空间】送餐员——组长——副站长——站长——运营助理——城市经理【温馨提示】：有意向可以投递简历，投递简历请记得设置简历的隐私保护！！
陕西品芸尚餐饮管理有限公司,今天,4333,59,送餐员/外卖骑手,7300-12300元/月,睡到自然醒工作8小时,包住 包吃 加班补助 饭补 话补,招15人 学历不限 经验不限,西安 - 雁塔 - 电视塔 西安雁塔西安雁塔区电视塔 查看地图,站长直招 ：【任职资格】1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、会用导航。【招聘职位】诚聘外卖送餐员，面试通过次日可上岗。【工作亮点】系统自动派单，多劳多得，正常跑7300+，白天加班跑10000+，夜宵拼命跑15000+【工作地点】全西安就近安排站点【工作时间】10：00-14：00 17：00-21：00，其他时间自由安排，每月休4天，可调休、多劳多得、时间自由分配。【工资待遇】：底薪2500~3400，平均每天40--80单，每单5-15元，单量提成+星级补贴（远距离补贴、夜班补贴、暖冬补贴 、新人奖励等）。【福利待遇】：公司提供车，提供住宿，新人奖励，暖冬补贴【岗位职责】：负责以站点为中心3公里以内订单配送，入职有老骑手教。【升职空间】骑手——组长——副站长——站长——城市经理给自己一个尝试的机会，展现出一个不一样的你！
西咸新区新威沃网络科技有限公司（新威沃（美团合作商））,今天,6,0,送餐员/外卖骑手,8720-11900元/月,0费用+入职拿新人奖,美团 熟练驾驶电动 公司提供车 健康证 包住 加班补助 年底双薪 0押金 供车住,招20人 学历不限 经验不限,西安 - 未央 - 大明宫 西安未央地铁4号线大明宫 查看地图,【任职资格】1.年龄18-50岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、会用导航。【招聘职位】诚聘外卖送餐员，面试通过次日可上岗。【工作亮点】系统自动派单，多劳多得，正常跑8753+，白天加班跑10000+，夜宵拼命跑11926+【工作地点】全西安就近安排站点【工作时间】10：00-14：00 17：00-21：00，其他时间自由安排，每月休4天，可调休、多劳多得、时间自由分配。【工资待遇】：底薪3000-3500，平均每天50单，每单6-12元，单量提成+福利津贴（远距离补贴、夜班补贴、高温补贴、暖冬补贴等）+新人奖励。【福利待遇】：公司提供车，提供住宿，入职就办理保险。【岗位职责】：负责以站点为中心3公里以内订单配送，入职有老骑手教。【升职空间】骑手——组长——副站长——站长——城市经理给自己一个尝试的机会，展现出一个不一样的你！大专及以上学历也可以直接应聘储备干部！面试合格当天办理入职，直接电话联系优先安排面试！想了解更多可以打电话咨询！！！
唐山穗汴科技有限公司,今天,384,3,送餐员/外卖骑手,8000-12000元/月,急招送餐员,包住 包吃 交通补助 话补,招若干人 学历不限 经验不限,西安 - 碑林 - 文艺路 西安碑林草场坡甲字50号翡翠明珠 查看地图,未满18不要工作描述：APP点击完成订单即可。入职要求：1、年龄：18-50周岁，身体健康、无犯罪记录；2，会骑电动车或摩托车，灵活使用智能手机3、吃苦耐劳，有良好的服务意识、服务精神以及较强的团队精神；5、工作时间：10:00-14:00；17：00-21:00工作地点：西安薪资待遇：骑手平均月薪资6000--9000元。上不封顶，公司可提供交通工具，意外保险另有距离补贴，优选骑手奖，特殊贡献奖，恶劣天气补贴及其他平台高额补贴该职位为公司直接招聘，入职前无需缴纳任何费用！晋升渠道：骑手——组长——副站长——站长——区域经理工作区域：未央区，碑林区
苏州乐跑外卖配送有限公司,今天,6,0,送餐员/外卖骑手,8702-13521元/月,送餐员可上万住宿+配车住,饭补 话补 年底双薪 包住 包吃 房补 加班补助 高温补贴 0元入职,招19人 学历不限 经验不限，可接收应届生,西安 - 莲湖 - 龙首村 西安莲湖龙首北路东段4号秦文阁 查看地图,很高兴你能抽时间看我的信息！！非常感谢！！本公司为站点直接招聘！！！工资准时发放，面试当天可安排入职住宿，工资6000以上，个别站点新人奖500，系统派单每天50-90单，月平均工资8K-12k，有老员工带，有车可自带，无车可提供，欢迎加入大家庭！！！！一、薪资待遇：一、工资：6-8元单二、福利：新人奖500+全勤奖每月300+暖冬补贴4500左右！另外加冲单奖、排名奖，夜宵补助、距离补助、重量补助，大额单补助，恶劣天气补贴、等等。正常干7000---9000元月，努力干9000---11000元月，使劲干11000以上（不封顶）二、工作内容：骑手通过配送系统线上按单，品类包括附近美食、水果蔬菜、超市、鲜花、蛋糕、早午晚餐、下午茶、宵夜、饮料、甜点等据订单信息到商家拿商品送至客户手中三、工作时间：上午10：00-14：00，下午17：00-21：00，其他时间可休息或接单，四、岗位要求：年龄19-45周岁，无不良嗜好！身体健康！！五、宿舍环境：小区房，2-6人一间，设备齐全（空调，洗衣机，热水器）六·派单问题系统派单，公平公正，不用担心没有单！自动调度订单，接单后按照订单信息上门取餐送餐。欢迎投简历！！
西咸新区新威沃网络科技有限公司（新威沃（美团合作商））,今天,22,2,送餐员/外卖骑手,6000-10000元/月,不耽误睡懒觉送餐骑手,包住 加班补助 年底双薪,招5人 学历不限 经验不限,西安 - 碑林 - 大学南路 西安碑林边东街18号东泰城市之光 查看地图,工作时间：【招聘职位】招配送员，面试通过次日即可上岗。【工作亮点】系统自动派单，根据入职时间，优先安排单量多的站点。多劳多得，午晚高峰正常跑7000+，白天加班跑9000+，夜宵拼命跑12000+【工作地点】全西安就近安排站点【工作时间】10:00-14:00，17:00-21:00，（夜宵21.00-24.00这个时间单价高，自己决定跑不跑）可调休，可请假、多劳多得、时间自由分配。【工资待遇】：底薪3500，平均每天50-70单，每单6-8元，单量提成+福利津贴（距离补贴、夜班补贴、高温补贴及暖冬补贴等）【福利待遇】：公司提供车，提供住宿，入职办理保险。【岗位职责】：负责以站点为中心3公里以内的餐食订单配送，不会有老骑手教。面试合格当天办理入职，直接电话联系优先安排面试！任职资格：1.年龄18-52岁，男女不限，学历不限。2.没有犯罪记录。3.会骑电动车、熟练使用手机APP软件。4.身体健康，能办理健康证（可入职后办理）
涟水新瑞诚企业管理有限公司（新瑞诚（美团合作商））,今天,5328,99,送餐员/外卖骑手,5000-8000元/月,外卖送的好，月月是首富,五险一金 包吃 话补,招50人 学历不限 经验不限,西安 - 碑林 - 太乙路 西安碑林地铁5号线太乙路 查看地图,站点诚聘骑手，每月工资20号按时发放， 当天可以安排站点、住宿，站长面谈【工作时间】工作高峰时段为上午10:00-14:00、下午17:00-21：00，其他时间自己安排，【岗位基本要求】年龄18-49岁，无犯罪记录，会骑车；（注：身份证不到18岁都不能入系统账号）有身份证或者临时身份证；备注：身份证必须满18岁，身份证必须满18岁，差几天还可以等一等，差1天入不了账号。【薪资待遇】1：工资按单提成一单6-7元；2：每天单量40-500单，爆单较高100单，月平均薪资5000-8000，多劳多得；【福利补贴】1：求职者有车可自带，无车公司可以提供0元拿车，公司不会卖电动车，大家避免上当受骗；2：工龄奖400-600+贡献奖150+车话补+天气补贴+距离补贴+重量补贴+提供住宿+积分奖+各种临时奖励；【晋升路径】配送员--组长--储备站长--站长--区域经理--城市经理--总监【工作地点】西安市区均有站大部分站点都有住宿；送餐范围：配送站周边3公里左右。期待你的加入，欢迎在线咨询或者电话咨询！
唐山穗汴科技有限公司,今天,418,7,送餐员/外卖骑手,8000-12000元/月,诚招外卖骑手,包住 包吃 交通补助,招若干人 学历不限 经验不限,西安 - 碑林 - 文艺路 西安碑林草场坡甲字50号翡翠明珠 查看地图,未满18不要工作描述：APP点击完成订单即可。入职要求：1、年龄：18-50周岁，身体健康、无犯罪记录；2，会骑电动车或摩托车，灵活使用智能手机3、吃苦耐劳，有良好的服务意识、服务精神以及较强的团队精神；5、工作时间：10:00-14:00；17：00-21:00工作地点：西安薪资待遇：骑手平均月薪资6000--9000元。上不封顶，公司可提供交通工具，意外保险另有距离补贴，优选骑手奖，特殊贡献奖，恶劣天气补贴及其他平台高额补贴该职位为公司直接招聘，入职前无需缴纳任何费用！晋升渠道：骑手——组长——副站长——站长——区域经理工作区域：未央区，碑林区
上海易即达网络科技有限公司（易即达（美团合作商））,今天,141,0,送餐员/外卖骑手,5000-9000元/月,美团站点高薪直聘 要求低,骑电动车 沟通能力强 手机导航 交通法规 接单 使用智能手机 加班补助 饭补 交通补助 话补 房补 年底双薪 周末双休 包住 包吃 供车 供住 提供保险,招25人 高中 1年以下,西安 - 碑林 西安碑林陕西省西安市火炬路开元商住大厦3单元102室 查看地图,郑重提示：本公司直招，承诺面试到入职不收取任何费用。收取任何费用的均属不正规招聘场所，请大家擦亮慧眼，谨防上当受骗。如发现以我公司招聘为名义，进行非法收费，请和我们公司联系举报，公司会根据情况给予举报者适当的奖励。岗位要求1.不违反交通秩序，给自己留一份安全和责任?2.调度通过电脑发布派送任务，送餐员通过手机浏览订单信息接单，接单后按照订单信息上门取餐送餐3.配送的物品：外卖餐品4.及时、准确将餐品送到客户手中工作时间上午9：30-14:00下午17:00-21:0014:00-17:00自由安排休息或在商圈活动薪资待遇1.全职直招外卖送餐员月工资6000-10000元计件提成多劳多得2.福利待遇：基本工资+单量提成+福利津贴（话补、饭补、晚班补贴、大金额补贴及高温补贴），公司统一为员工缴纳商业保险3.工装，餐箱，护具均由公司提供任职资格1.18-45周岁，男女不限，学历不限2.有无经验均可，会骑电动车，会使用智能手机3.能吃苦耐劳、有强烈的上进心晋升空间：送餐员--副站长--站长--区域经理近咨询的人比较多，请直接打电话联系。当天就可以办理入职。每单提成6-8.5元，
武汉裕旺科技有限公司,今天,506,5,送餐员/外卖骑手,6000-9000元/月,送餐员0费用+包住配车,房补 加班补助 包住 工龄奖 全勤奖 大额补贴,招50人 学历不限 经验不限，可接收应届生,西安 - 未央 - 辛家庙 西安未央太元路266号华远君城 查看地图,新年快乐，兔年大吉！本招聘是在站点面试，公司直招！面试合格，当天办理入职手续！当天可提供住宿！岗位职责：1、根据手机软件提供的地址，准时并快速将餐品送达客户手中。2、配送区域是方圆3公里。工作自由、单量多，提成高。入职新员工有人带、有人教。。外卖行业是凭个人能力吃饭的行业，只要你自己认真努力，工资丰厚！任职资格：1、年龄18~45周岁（年龄未满18周岁或者45周岁生日已过的不能办理入职手续）。2、熟练使用智能手机，会使用手机地图。3、脸上脖子上无大面积纹身，无犯罪史，无。福利待遇：每月工资=单量提成+全勤奖+年终奖+恶劣天气补助+各种补贴。轻松干：月薪4000元以上正常干：月薪6000元以上努力干：月薪8000元以上公司为每一位离开家的伙伴提供温馨的宿舍， 提供外卖箱，工作服，头盔。培训！是免费的。晋升！不是靠关系的。入职后，公司会为每一位骑手买两份保险，工伤险和意外险，对每一位骑手都有双重的安全保障。公司会不定期举行聚餐狂欢，这就是你的第二个家！工作时间：早上9点半-14点，下午17点-21点。（14点到17点期间可以休息，也可接单，可自己选择。两个饭点高峰期必须在职，其余时间自愿跑单或者休息，工作时间自由。）每月休假2天。晋升路径：骑手—组长—副站长—站长—城市负责人。本岗位属公司总站点直招，面试成功之后可全西安就近分配！如有意向，欢迎各位小伙伴打电话预约后前来面试，在这里你可以靠你勤劳的双腿、你的勤奋，来成就你的高薪梦，我们这个大家庭期待您的加入！不诚意者勿扰！打酱油者勿扰！
广州壹城网络科技有限公司,今天,60,1,送餐员/外卖骑手,7214-11324元/月,外卖员+当天上岗安排住宿,日结工资 周结工资 月结工资 随时提现到账 不需要 饿了么 包住 房补 话补 五险一金 交通补助 工龄工资补贴 时间自由 早餐+夜宵补贴,招20人 学历不限 经验不限，可接收应届生,西安 - 曲江新区 - 陕师大 西安曲江新区翠华路翠华路与雁南三路交叉口 查看地图,【招聘岗位】：外卖配送员主要配送鲜花，牛奶，蛋糕，生活用品，餐品等等。公司无费用配 车，就近分配站点，每个站点都有宿舍，宿舍都是小区内三室一厅，冬天有暖气，可洗澡， 有热水，环境良好。【工资待遇】：底薪3000+每单提成 6--12元不等，平均每天接单量在 30-70单左右，上不封顶，综合薪资在 6000-10000 元，上不封顶【额外补贴】：重量补贴+远距离补贴+大额订单补贴+周奖励+单量补贴+优秀员工奖+单王奖励等。【工作区域】：西安三环之内都可以就近安排站点。【工作时间】：10:00--14:00，17:00--21:00。中间 3-4 个小时休息时间，可以自行选择加班，加班有补贴。职位要求：会骑电动车，会使用导航，年龄在 18-50岁之间，无案底，身体健康，一码通正常。【岗位职责】：接到系统派单，到商家取餐，按照导航在一定时间范围内给顾客送到，配送范围 3 公里之内。新人上岗会有老骑手带跑。无须担心没有经验。【晋升路径】：骑手-组长-调度-站长-运营经理 公司给员工缴纳商业险，医疗险，人身意外险，如遇特殊情况可报销，大家可放心上班。有意向者可直接投递简历！！投递简历时请注意隐私保护！也可打电话直接沟通！
武汉裕旺科技有限公司,今天,261,3,送餐员/外卖骑手,6000-9000元/月,0押金+住宿+配车1w,房补 加班补助 包住 工龄奖 全勤奖 大额补贴,招50人 学历不限 经验不限，可接收应届生,西安 - 雁塔 - 等驾坡 西安雁塔西影路19号金业缇香山 查看地图,新年快乐，兔年大吉！本招聘是在站点面试，公司直招！面试合格，当天办理入职手续！当天可提供住宿！岗位职责：1、根据手机软件提供的地址，准时并快速将餐品送达客户手中。2、配送区域是方圆3公里。工作自由、单量多，提成高。入职新员工有人带、有人教。。外卖行业是凭个人能力吃饭的行业，只要你自己认真努力，工资丰厚！任职资格：1、年龄18~45周岁（年龄未满18周岁或者45周岁生日已过的不能办理入职手续）。2、熟练使用智能手机，会使用手机地图。3、脸上脖子上无大面积纹身，无犯罪史，无。福利待遇：每月工资=单量提成+全勤奖+年终奖+恶劣天气补助+各种补贴。轻松干：月薪4000元以上正常干：月薪6000元以上努力干：月薪8000元以上公司为每一位离开家的伙伴提供温馨的宿舍， 提供外卖箱，工作服，头盔。培训！是免费的。晋升！不是靠关系的。入职后，公司会为每一位骑手买两份保险，工伤险和意外险，对每一位骑手都有双重的安全保障。公司会不定期举行聚餐狂欢，这就是你的第二个家！工作时间：早上9点半-14点，下午17点-21点。（14点到17点期间可以休息，也可接单，可自己选择。两个饭点高峰期必须在职，其余时间自愿跑单或者休息，工作时间自由。）每月休假2天。晋升路径：骑手—组长—副站长—站长—城市负责人。本岗位属公司总站点直招，面试成功之后可全西安就近分配！如有意向，欢迎各位小伙伴打电话预约后前来面试，在这里你可以靠你勤劳的双腿、你的勤奋，来成就你的高薪梦，我们这个大家庭期待您的加入！不诚意者勿扰！打酱油者勿扰！
上海易即达网络科技有限公司（易即达（美团合作商））,今天,178,1,送餐员/外卖骑手,4500-9000元/月,西安就近分配美团骑手,骑电动车 沟通能力强 手机导航 交通法规 接单 使用智能手机 加班补助 饭补 交通补助 话补 房补 年底双薪 周末双休 包住 包吃 供车 供住 提供保险,招25人 高中 1年以下,西安 - 碑林 西安碑林陕西省西安市火炬路开元商住大厦3单元102室 查看地图,郑重提示：本公司直招，承诺面试到入职不收取任何费用。收取任何费用的均属不正规招聘场所，请大家擦亮慧眼，谨防上当受骗。如发现以我公司招聘为名义，进行非法收费，请和我们公司联系举报，公司会根据情况给予举报者适当的奖励。岗位要求1.不违反交通秩序，给自己留一份安全和责任?2.调度通过电脑发布派送任务，送餐员通过手机浏览订单信息接单，接单后按照订单信息上门取餐送餐3.配送的物品：外卖餐品4.及时、准确将餐品送到客户手中工作时间上午9：30-14:00下午17:00-21:0014:00-17:00自由安排休息或在商圈活动薪资待遇1.全职直招外卖送餐员月工资6000-10000元计件提成多劳多得2.福利待遇：基本工资+单量提成+福利津贴（话补、饭补、晚班补贴、大金额补贴及高温补贴），公司统一为员工缴纳商业保险3.工装，餐箱，护具均由公司提供任职资格1.18-45周岁，男女不限，学历不限2.有无经验均可，会骑电动车，会使用智能手机3.能吃苦耐劳、有强烈的上进心晋升空间：送餐员--副站长--站长--区域经理近咨询的人比较多，请直接打电话联系。当天就可以办理入职。每单提成6-8.5元，
陕西北马途运物流管理有限公司,今天,829,85,面包车司机,8500-12000元/月,急招3名自动挡司机送烟酒,五险一金 房补 饭补 话补 加班补助 早八晚六 八小时 不装不卸,招3人 学历不限 经验不限,西安 - 灞桥 西安灞桥灞桥区周边物流不限 查看地图,待遇：8600到12000左右，八小时，15号发薪资。时间：早八晚六职位要求：年龄20到55之间，C1以上驾照（运输范围只限于西安市以及西安周边）1.负责运输医学药品，大仓库对小仓库。短途派送。有驾照会开车就可以。工作地点：西安东南西北郊就近选择仓库区域公司优点：前期有师傅带，容易上手，有饭补。多跑一趟多挣一趟运费，工作自由不加班，有意向投简历。
未找到数据,今天,1919,30,网络销售,6000-9000元/月,急招网络课程销售保底6K,五险一金 年底双薪 交通补助 饭补 话补 房补,招10人 高中 1年以下,西安 - 未央 - 文景南路 西安经济技术开发区凤城十二路66号富北高银26幢2504室 查看地图,年龄:18-35岁岗位职责：1、负责搜集新客户的资料并进行沟通，开发新客户；2、通过微信与客户进行有效沟通了解客户需求， 寻找销售机会并完成销售业绩；3、维护老客户的业务，挖掘客户的潜力；4、定期与合作客户进行沟通，建立良好的长期合作关系。任职资格：1、20-30岁，口齿清晰，普通话流利，语音富有感染力；2、对销售工作有较高的热情；3、具备较强的学习能力和优秀的沟通能力；4、性格坚韧，思维敏捷，具备良好的应变能力和承压能力；5、有敏锐的市场洞察力，有强烈的事业心、责任心和积极的工作态度。工作时间：上午：9:00-12:00 下午14:00-18:00办公环境：现代化办公环境，优越的工作氛围保底底薪3000-6000（面议）+高提成，月综合不低于8000 上不封顶福利待遇：五险+完善的休假制度+节日福利+不定期团建+五险一金。
陕西阿凡提新能源汽车租赁有限公司,今天,46,2,货运司机,8000-12000元/月,诚聘专区专线货运司机,面包车 4.2m货车 短途 日用品 生鲜 食品 五险一金 包吃 包住 周末双休 话补 交通补助 饭补,招20人 学历不限 经验不限,西安 - 未央 西安未央西安未央石化大道北徐十字向东三百米创世纪装饰楼下 查看地图,工作内容：招募合作C1司机职位要求：1.要求驾龄1年，无犯罪记录，三年内没有一次扣完12分。3.结算灵活，可短可长。4.上班自由，时间自由，收入稳定。5.公司提供车辆有全新吉利(星享系列，E200，)。(平台回复不及时，有想法的司机朋友们可以直接电话微信联系)
陕西途运速达物流有限公司,今天,1041,92,网约车司机,8000-11000元/月,快消品招司机,C1 4.2m货车 厢式货车 公司提供车 1~2年 无一次性扣6 年底双薪 加班补助 交通补助 房补 工资结算准时 近期团结聚餐,招4人 学历不限 经验不限，可接收应届生,西安 - 经开区 - 草滩 西安经开区草滩五路招商物流园 查看地图,岗位职责：1、负责公司的货物运送、数量清点；2、负责公司车辆保养、维修和清洁工作；3、协助处理公司车辆保险、索赔、年检办理；任职资格：1、年龄28-35岁，C1本，5年以上实际驾驶经验，带车司机优先，熟悉本地路况；2、无不良驾驶记录，无重大事故及交通违章，具有较强的安全意识；3.为人踏实、老实忠厚，保密意识强、责任心强，能适应加班。
未找到数据,今天,1183,60,保健技师,5000-9000元/月,凤七高薪招采耳师五千保底,包吃 包住 交通补助 饭补 加班补助 五险一金,招10人 学历不限 经验不限,西安 - 经开区 - 西安中学 凤城七路天朗御湖19幢1座1层10111号 查看地图,职位要求:勤奋好学，吃苦耐劳，五官端正，积极向上，无不良嗜好！年龄要求:40岁以下(有相关从业经验者优先考虑)！保底五千，包食宿！公司提供较多晋升机会，只要你肯努力，梦想我们帮你实现！解氏耳道期待您的加入！
未找到数据,今天,1136,71,保安,3500-5000元/月,急招3名坐岗保安当天安排,包吃 加班补助 饭补 包住 五险一金,招10人 学历不限 经验不限,西安 - 莲湖 西安莲湖西安莲湖201恒天财智大厦 查看地图,公司直招，工作简单基本没人管很清闲，可玩手机；不要保安证、不培训，直接上岗。薪资待遇：3800-5000 第二个月涨300-500元。福利：吃住免费，干满7天可以预支生活费，无押金、免费发被褥和工装；能睡觉，中间有吃饭休息时间，能午休。要求：18-40岁，160以上，要求住宿。岗位职责：岗亭、值班室坐岗，监控室坐岗，室内巡逻，坐车巡逻；防火防盗，维护治安。带行李当天安排食宿，第二天再上班。
未找到数据,今天,30,1,销售专员,5000-10000元/月,诚聘销售业务员,包住,招10人 学历不限 经验不限,西安 - 雁塔 - 明德门 西安市雁塔区明德东路长江丰泽园西侧约60米明德春雨幼儿园 查看地图,岗位职责：1、负责公司产品的销售及推广；2、根据市场营销计划，完成部门销售指标；3、开拓新市场，发展新客户，增加产品销售范围；4、负责辖区市场信息的收集及竞争对手的分析；5、负责销售区域内销售活动的策划和执行，完成销售任务；6、管理维护客户关系以及客户间的长期战略合作计划。任职资格：1、大专及以上学历，市场营销等相关专业；2、1-2年以上销售行业工作经验，业绩突出者优先；3、反应敏捷、表达能力强，具有较强的沟通能力及交际技巧，具有亲和力；4、具备一定的市场分析及判断能力，良好的客户服务意识；5、有责任心，能承受较大的工作压力；6、有团队协作精神，善于挑战。工作时间：
未找到数据,今天,264,8,美容导师,6000-11000元/月,诚聘美容导师,未找到数据,招20人 学历不限 经验不限,西安 - 经开区 - 张家堡 西安经开区凤城十路1601019号震轩美容美发世茂都店 查看地图,工作内容：师，美发经理：6000底薪加门店总业绩提成月休四天包吃包住：
未找到数据,今天,166,3,保安,2900-3200元/月,西安高新第六幼儿园招保安,包住 包吃,招5人 学历不限 经验不限,西安 - 长安 - 西沣路 西安长安信息大道与西太路交叉口东南侧蓝博公寓C区 查看地图,工作内容：维护校园安全年龄：18-50岁工作时间：正常班福利待遇：月休4天12小时制 两班倒
未找到数据,今天,670,21,收银员,3500-5000元/月,高薪诚聘收银员,包住 包吃 加班补助,招5人 学历不限 经验不限,西安 - 雁塔 - 国展中心 西安市-雁塔区-翠华路曲江会展国际心悦SPA汤泉馆 查看地图,负责店面收银、结算、理账工作，有收银工作经验者优先
陕西秦东物流有限公司,今天,4483,343,货运司机,8500-12000元/月,急招专线司机短途运输,B1 B2 C1 实习 1~2年 2~5年 包住 包吃 加班补助 饭补 五险一金 年底双薪 周末双休 交通补助 房补 话补,招22人 学历不限 经验不限，可接收应届生,西安 - 新城 - 胡家庙 西安新城长缨路1号华东万和城1号楼 查看地图,1.司机师傅只管跑车，其他事情交由公司处理，2.手头紧张可以预支工资，入职三个月后缴纳社保。3.无需装卸，市内仓库转送，每天保底2-4趟，4.具有C1以上驾照，5.有意向者，可抓紧投递简历或者直接留联系方式，位置有限，先到先入职!
未找到数据,今天,77,4,运营专员/助理,3500-4000元/月,高薪诚聘运营,生日福利 团建,招1人 学历不限 经验不限,西安 - 莲湖 - 龙首村 西安莲湖龙首北路西段26号中天雅苑 查看地图,岗位职责：1、系统量化审核、统计、分析2、负责协助经理完成公司制定的各项工作；3、负责整理部门文件资料，提供良好的售后服4、制作各类运营分析报表5、组织会议6、策划活动任职要求：1、熟练掌握办公软件的操作，会做PPT，会运用Excel表格中相关函数公式（比如：IF、VLOOKUP等公式以及表格透析）2、学习能力强，立志在行业发展自己3、工作认真细致，富有责任心，能吃苦耐劳，执行力强。4、有一定的房产量化审核经验5、年龄25-336、有一定会议组织和活动策划经验7、全职上班时间：朝九晚六，月休6天福利：生日福利，定期团建
